Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,bl_impact,residuals
Mastomys natalensis,113,23,39,24.1,32.5,14.5,-1.31,Savanna,Terrestrial,25.446298390275256,-2.446298390275256
Mastomys shortridgei,120,25,46,22,34,6.6,-17.04,Savanna,Terrestrial,26.769322052313704,-1.7693220523137043
Maxomys alticola,158,33,90,22.8,29.1,16.5,5.74,Forest,Terrestrial,33.95145050337956,-0.9514505033795615
Maxomys baeodon,132,28,63,25.4,31.2,19.5,5.1,Forest,Terrestrial,29.037362615808185,-1.0373626158081848
Maxomys bartelsii,152,34,102,19.1,24.2,14.2,-7.07,Forest,Terrestrial,32.81743022163232,1.1825697783676787
Maxomys ochraceiventer,156,32,97,25.2,31.1,19.3,2.83,Forest,Terrestrial,33.573443742797146,-1.5734437427971457
Maxomys panglima,178,40,182,26.8,31.8,22.2,9.92,Forest,Terrestrial,37.7315181092037,2.268481890796302
Melomys bougainville,141,26,86,25.6,29.7,21.2,-6.38,Forest,Terrestrial,30.738393038429045,-4.738393038429045
Melomys burtoni,113,25,45,25,33.8,14.9,-16.39,Forest,Terrestrial,25.446298390275256,-0.4462983902752562
Melomys cervinipes,134,29,74,20.1,30.2,8.7,-24.89,Forest,Terrestrial,29.415369376390597,-0.415369376390597
Melomys leucogaster,157,32,122,26,32.1,19.3,-6.73,Forest,Terrestrial,33.76244712308835,-1.76244712308835
Melomys matambuai,156,35,158,26.8,30.8,22.9,-2.09,Forest,Terrestrial,33.573443742797146,1.4265562572028543
Melomys paveli,124,24,55,21.7,26.3,16.5,-3.24,Forest,Terrestrial,27.52533557347853,-3.5253355734785288
Meriones shawi,137,33,78,18,32.6,2.2,33.85,Desert,Terrestrial,29.982379517264217,3.017620482735783
Mesembriomys gouldii,288,69,740,25.1,33.7,15.4,-15.04,Forest,Arboreal,58.52188994123644,10.478110058763562
Mesembriomys macrurus,230,50,285,27,36,15.8,-15.38,Forest,Arboreal,47.559693884346444,2.4403061156535557
Micaelamys namaquensis,109,25,40,19.9,32.4,5.4,-23.91,Savanna,Terrestrial,24.690284869110428,0.3097151308895718
Millardia kathleenae,148,28,93,27,35.9,16,21.63,Savanna,Terrestrial,32.06141670046749,-4.06141670046749
Mus bufo,67,15,12,18.6,24.2,12.8,-1.76,Forest,Terrestrial,16.752142896879747,-1.7521428968797466
Mus callewaerti,84,17,16,21.2,29.3,11.7,-8.87,Forest,Terrestrial,19.965200361830263,-2.965200361830263
