Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche
Mus shortridgei,108,21,35,22.7,30.4,13.1,19.12,Forest,Terrestrial
Mus spretus,140,16,14,15.3,29.2,1,37.07,Shrubland,Terrestrial
Mus terricolor,68,15,8,25.8,37.9,12.1,22.06,Forest,Terrestrial
Mus vulcani,93,22,20,12.6,17.6,7.7,-7.12,Forest,Terrestrial
Myomyscus brockmani,104,21,30,23.7,31.1,15.2,3.73,Savanna,Terrestrial
Myomyscus verreauxii,94,22,27,16.7,28,4.5,-33.25,Shrubland,Terrestrial
Niviventer cameroni,150,34,94,22.2,27.1,16.9,4.7,Forest,Scansorial
Niviventer coninga,172,34,142,20.8,29.2,11.3,23.74,Forest,Scansorial
Niviventer eha,118,31,38,7.1,19.9,-5.8,27.75,Forest,Scansorial
Niviventer hinpoon,140,26,60,25.2,31.9,16.6,14.37,Forest,Scansorial
Niviventer niviventer,137,30,62,18.7,28.9,7.1,26.9,Forest,Scansorial
Niviventer rapit,132,30,55,24.8,30.6,18.9,2.36,Forest,Scansorial
Notomys alexis,97,32,24,22.9,37.4,6.3,-25.02,Grassland,Terrestrial
Notomys aquilo,108,37,38,26.7,34.4,17.7,-13.94,Forest,Terrestrial
Notomys cervinus,108,34,40,23.8,38.6,6.8,-24.9,Desert,Terrestrial
Notomys fuscus,98,35,32,22.4,37.7,5.3,-27.74,Grassland,Terrestrial
Notomys mitchellii,112,37,50,17.8,30.4,3.5,-31.87,Shrubland,Terrestrial
Otomys angoniensis,155,26,93,19,29.7,6.4,-17.58,Savanna,Terrestrial
Otomys auratus,168,29,127,16.2,28.9,1.9,-28.48,Grassland,
Otomys barbouri,166,27,112,8.9,14.7,3.2,1.15,Forest,Terrestrial
Otomys burtoni,156,30,90,16.7,22.3,11.8,4.24,Grassland,Terrestrial
Otomys irroratus,157,29,111,16.8,28.4,4.4,-33.01,Grassland,Terrestrial
Otomys karoensis,134,27,108,16.3,28.7,2.9,-32.38,Grassland,Terrestrial
Otomys laminatus,188,30,165,17.5,28.4,5.8,-29.73,Grassland,Terrestrial
Otomys occidentalis,143,28,77,22.9,29.4,15.4,6.84,Grassland,Terrestrial
Otomys sloggetti,127,28,84,14.1,27.1,-0.6,-30.59,Grassland,Terrestrial
Otomys tropicalis,178,29,111,19.4,25.6,12.9,0.42,Savanna,Terrestrial
Otomys typus,145,25,108,18.9,27.6,9.5,8.49,Savanna,Terrestrial
Parahydromys asper,225,53,540,18.7,25.1,12,-5.77,Forest,Terrestrial
Paraleptomys rufilatus,134,36,58,23.2,27.6,18.5,-3.19,Forest,Terrestrial
Paramelomys levipes,156,36,127,25.1,31.5,18.2,-8.13,Forest,Terrestrial
Paramelomys lorentzii,157,35,134,26.5,32.4,19.9,-6.5,Forest,Terrestrial
Paramelomys mollis,137,35,80,19.2,25.5,12.7,-5.62,Forest,Terrestrial
Paramelomys platyops,111,27,43,25.4,30.7,19.5,-4.8,Forest,Terrestrial
Pelomys fallax,147,32,105,21.9,31,11.2,-11.48,Savanna,Terrestrial
Pelomys hopkinsi,122,31,54,18.8,24.7,12.6,-1.68,Wetlands,Terrestrial
Pelomys isseli,140,32,72,22.1,27.9,16,0.15,Wetlands,Terrestrial
Pelomys minor,122,24,49,22.2,31.3,12,-8.96,Savanna,Terrestrial
Petromyscus collinus,80,16,100,18.8,31.7,4.2,-26.4,Desert,Terrestrial
